iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.534463820634065,2.16654394865036,0.2328125,1716920303,,False,1,98b77b10,2024-05-28_20-18-23,31.10283851623535,31.10283851623535,7317,VRMWB-16GGJX3,192.168.163.40,31.10283851623535,1
1,1.976569171305056,1.77242271900177,0.371875,1716920324,,False,2,98b77b10,2024-05-28_20-18-44,21.70805072784424,52.81088924407959,7317,VRMWB-16GGJX3,192.168.163.40,52.81088924407959,2
2,1.4977672085349942,1.3277497678995132,0.4921875,1716920339,,False,3,98b77b10,2024-05-28_20-18-59,14.935662031173706,67.7465512752533,7317,VRMWB-16GGJX3,192.168.163.40,67.7465512752533,3
3,1.0847380337891754,0.952589139342308,0.65625,1716920352,,False,4,98b77b10,2024-05-28_20-19-12,12.45752215385437,80.20407342910767,7317,VRMWB-16GGJX3,192.168.163.40,80.20407342910767,4
4,0.7532565575322987,0.6359713688492775,0.7578125,1716920367,,False,5,98b77b10,2024-05-28_20-19-27,15.433159589767456,95.63723301887512,7317,VRMWB-16GGJX3,192.168.163.40,95.63723301887512,5
