iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
28,0.002306813400031792,0.08930457381648012,0.9859375,1716921251,,False,29,ced168c8,2024-05-28_20-34-11,3.7531497478485107,124.91891527175903,13219,VRMWB-16GGJX3,192.168.163.40,124.91891527175903,29
29,0.0021898175149949062,0.0870165828964673,0.9859375,1716921254,,False,30,ced168c8,2024-05-28_20-34-14,3.434356451034546,128.35327172279358,13219,VRMWB-16GGJX3,192.168.163.40,128.35327172279358,30
30,0.0018294067768793968,0.09215978797292337,0.984375,1716921258,,False,31,ced168c8,2024-05-28_20-34-18,3.5135326385498047,131.86680436134338,13219,VRMWB-16GGJX3,192.168.163.40,131.86680436134338,31
31,0.0021705854314747323,0.09107236879644916,0.984375,1716921262,,False,32,ced168c8,2024-05-28_20-34-22,3.7922556400299072,135.6590600013733,13219,VRMWB-16GGJX3,192.168.163.40,135.6590600013733,32
32,0.002254911011406853,0.09005179402884096,0.984375,1716921266,,False,33,ced168c8,2024-05-28_20-34-26,4.162641525268555,139.82170152664185,13219,VRMWB-16GGJX3,192.168.163.40,139.82170152664185,33
33,0.0017484914681034876,0.08915835999650881,0.9859375,1716921270,,False,34,ced168c8,2024-05-28_20-34-30,3.6333513259887695,143.45505285263062,13219,VRMWB-16GGJX3,192.168.163.40,143.45505285263062,34
34,0.001512809576075754,0.09219328051840421,0.984375,1716921273,,False,35,ced168c8,2024-05-28_20-34-33,3.697404146194458,147.15245699882507,13219,VRMWB-16GGJX3,192.168.163.40,147.15245699882507,35
35,0.0016917662470842952,0.09671981465653516,0.984375,1716921278,,False,36,ced168c8,2024-05-28_20-34-38,4.740992546081543,151.89344954490662,13219,VRMWB-16GGJX3,192.168.163.40,151.89344954490662,36
36,0.0017840597379009848,0.07779616315092426,0.9859375,1716921282,,False,37,ced168c8,2024-05-28_20-34-42,4.097384214401245,155.99083375930786,13219,VRMWB-16GGJX3,192.168.163.40,155.99083375930786,37
37,0.0016141585649255617,0.0924509878095705,0.984375,1716921286,,False,38,ced168c8,2024-05-28_20-34-46,3.6568939685821533,159.64772772789001,13219,VRMWB-16GGJX3,192.168.163.40,159.64772772789001,38
38,0.001652533405483413,0.0785078753659036,0.9875,1716921289,,False,39,ced168c8,2024-05-28_20-34-49,3.493086576461792,163.1408143043518,13219,VRMWB-16GGJX3,192.168.163.40,163.1408143043518,39
39,0.0017566461544368923,0.09571453051175922,0.984375,1716921293,,False,40,ced168c8,2024-05-28_20-34-53,3.799006462097168,166.93982076644897,13219,VRMWB-16GGJX3,192.168.163.40,166.93982076644897,40
40,0.0014031583552513226,0.09471530595037621,0.984375,1716921298,,False,41,ced168c8,2024-05-28_20-34-58,4.474984645843506,171.41480541229248,13219,VRMWB-16GGJX3,192.168.163.40,171.41480541229248,41
41,0.0013341052877360287,0.09318538065999746,0.9859375,1716921303,,False,42,ced168c8,2024-05-28_20-35-03,5.188132286071777,176.60293769836426,13219,VRMWB-16GGJX3,192.168.163.40,176.60293769836426,42
42,0.0014968479460358251,0.09484496951336041,0.984375,1716921309,,False,43,ced168c8,2024-05-28_20-35-09,6.080516338348389,182.68345403671265,13219,VRMWB-16GGJX3,192.168.163.40,182.68345403671265,43
43,0.0014051800733144728,0.09536296690930612,0.984375,1716921314,,False,44,ced168c8,2024-05-28_20-35-14,5.334314584732056,188.0177686214447,13219,VRMWB-16GGJX3,192.168.163.40,188.0177686214447,44
44,0.0014183147117656507,0.09837219756736885,0.984375,1716921319,,False,45,ced168c8,2024-05-28_20-35-19,4.738539218902588,192.7563078403473,13219,VRMWB-16GGJX3,192.168.163.40,192.7563078403473,45
45,0.0016651119469854704,0.09685581348603592,0.984375,1716921323,,False,46,ced168c8,2024-05-28_20-35-23,4.0425896644592285,196.79889750480652,13219,VRMWB-16GGJX3,192.168.163.40,196.79889750480652,46
46,0.01649289434045599,0.23683408092474564,0.953125,1716921327,,False,47,ced168c8,2024-05-28_20-35-27,4.345792293548584,201.1446897983551,13219,VRMWB-16GGJX3,192.168.163.40,201.1446897983551,47
47,0.1390879395429367,0.1498009378905408,0.9640625,1716921331,,False,48,ced168c8,2024-05-28_20-35-31,3.7147741317749023,204.85946393013,13219,VRMWB-16GGJX3,192.168.163.40,204.85946393013,48
48,0.02664589724664427,0.12373518327949569,0.978125,1716921335,,False,49,ced168c8,2024-05-28_20-35-35,3.708871364593506,208.5683352947235,13219,VRMWB-16GGJX3,192.168.163.40,208.5683352947235,49
49,0.008489914623629531,0.09688644541893154,0.98125,1716921338,,False,50,ced168c8,2024-05-28_20-35-38,3.6311988830566406,212.19953417778015,13219,VRMWB-16GGJX3,192.168.163.40,212.19953417778015,50
