iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.5095654049037415,2.2354263782501222,0.1921875,1716920368,,False,1,cd3ca4b3,2024-05-28_20-19-28,25.28056788444519,25.28056788444519,8203,VRMWB-16GGJX3,192.168.163.40,25.28056788444519,1
1,2.0393275611194563,1.7909253060817718,0.3390625,1716920387,,False,2,cd3ca4b3,2024-05-28_20-19-47,19.016456127166748,44.29702401161194,8203,VRMWB-16GGJX3,192.168.163.40,44.29702401161194,2
2,1.5502330712330195,1.4684194266796111,0.403125,1716920412,,False,3,cd3ca4b3,2024-05-28_20-20-12,21.39430260658264,65.69132661819458,8203,VRMWB-16GGJX3,192.168.163.40,65.69132661819458,3
3,1.1103943556915095,0.9206237107515335,0.6296875,1716920435,,False,4,cd3ca4b3,2024-05-28_20-20-35,22.557498455047607,88.24882507324219,8203,VRMWB-16GGJX3,192.168.163.40,88.24882507324219,4
4,0.7097757079719026,0.6077814564108849,0.7765625,1716920451,,False,5,cd3ca4b3,2024-05-28_20-20-51,16.073463916778564,104.32228899002075,8203,VRMWB-16GGJX3,192.168.163.40,104.32228899002075,5
