iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.5032436200130133,2.2165414929389953,0.2546875,1716920092,,False,1,6eae9dda,2024-05-28_20-14-52,9.651342630386353,9.651342630386353,4644,VRMWB-16GGJX3,192.168.163.40,9.651342630386353,1
0,2.5403517322775757,2.1994948744773866,0.1953125,1716920310,,False,1,6eae9dda,2024-05-28_20-18-30,28.96984601020813,28.96984601020813,7467,VRMWB-16GGJX3,192.168.163.40,28.96984601020813,1
1,2.033014534432211,1.8243861258029939,0.3859375,1716920333,,False,2,6eae9dda,2024-05-28_20-18-53,22.305622339248657,51.27546834945679,7467,VRMWB-16GGJX3,192.168.163.40,51.27546834945679,2
2,1.517489626083845,1.3645419776439667,0.4765625,1716920349,,False,3,6eae9dda,2024-05-28_20-19-09,15.87734055519104,67.15280890464783,7467,VRMWB-16GGJX3,192.168.163.40,67.15280890464783,3
