iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.451170535735142,2.122110104560852,0.2578125,1716920046,,False,1,9a423f61,2024-05-28_20-14-06,10.017157316207886,10.017157316207886,3888,VRMWB-16GGJX3,192.168.163.40,10.017157316207886,1
0,2.569456662660764,2.294271230697632,0.159375,1716920192,,False,1,9a423f61,2024-05-28_20-16-32,44.30131459236145,44.30131459236145,5551,VRMWB-16GGJX3,192.168.163.40,44.30131459236145,1
1,2.133045109701745,1.9569018065929413,0.3375,1716920232,,False,2,9a423f61,2024-05-28_20-17-12,40.2056839466095,84.50699853897095,5551,VRMWB-16GGJX3,192.168.163.40,84.50699853897095,2
2,1.6275579531987507,1.2709865331649781,0.5515625,1716920259,,False,3,9a423f61,2024-05-28_20-17-39,26.93399405479431,111.44099259376526,5551,VRMWB-16GGJX3,192.168.163.40,111.44099259376526,3
