iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.5488745459803828,2.262623941898346,0.2109375,1716920129,,False,1,5e3636ac,2024-05-28_20-15-29,15.092999935150146,15.092999935150146,5173,VRMWB-16GGJX3,192.168.163.40,15.092999935150146,1
1,2.0026495029896867,1.7082964837551118,0.346875,1716920147,,False,2,5e3636ac,2024-05-28_20-15-47,18.326810121536255,33.4198100566864,5173,VRMWB-16GGJX3,192.168.163.40,33.4198100566864,2
2,1.476946614406727,1.4222660899162292,0.3859375,1716920165,,False,3,5e3636ac,2024-05-28_20-16-05,17.080385208129883,50.500195264816284,5173,VRMWB-16GGJX3,192.168.163.40,50.500195264816284,3
3,1.1629722670272544,1.0453822791576386,0.5546875,1716920193,,False,4,5e3636ac,2024-05-28_20-16-33,28.10603618621826,78.60623145103455,5173,VRMWB-16GGJX3,192.168.163.40,78.60623145103455,4
4,0.8761587937672933,0.8367620199918747,0.6546875,1716920221,,False,5,5e3636ac,2024-05-28_20-17-01,28.333040714263916,106.93927216529846,5173,VRMWB-16GGJX3,192.168.163.40,106.93927216529846,5
