iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
13,0.024373786903365894,0.06569274079520256,0.9796875,1716920856,,False,14,4b9e0720,2024-05-28_20-27-36,10.504612684249878,139.9282636642456,10795,VRMWB-16GGJX3,192.168.163.40,139.9282636642456,14
14,0.026720290020522144,0.0392064813291654,0.990625,1716920865,,False,15,4b9e0720,2024-05-28_20-27-45,8.965524196624756,148.89378786087036,10795,VRMWB-16GGJX3,192.168.163.40,148.89378786087036,15
15,0.0185380059087442,0.029058113787323238,0.99375,1716920874,,False,16,4b9e0720,2024-05-28_20-27-54,8.94883108139038,157.84261894226074,10795,VRMWB-16GGJX3,192.168.163.40,157.84261894226074,16
16,0.009861381347923552,0.040369848522823305,0.990625,1716920882,,False,17,4b9e0720,2024-05-28_20-28-02,8.136014938354492,165.97863388061523,10795,VRMWB-16GGJX3,192.168.163.40,165.97863388061523,17
17,0.026151203343437776,0.06519576443824918,0.98125,1716920891,,False,18,4b9e0720,2024-05-28_20-28-11,8.622505903244019,174.60113978385925,10795,VRMWB-16GGJX3,192.168.163.40,174.60113978385925,18
18,0.048624436273297045,0.07036434160545468,0.9828125,1716920900,,False,19,4b9e0720,2024-05-28_20-28-20,8.997554540634155,183.5986943244934,10795,VRMWB-16GGJX3,192.168.163.40,183.5986943244934,19
19,0.015602125958712012,0.04719589815940708,0.9890625,1716920908,,False,20,4b9e0720,2024-05-28_20-28-28,8.71507716178894,192.31377148628235,10795,VRMWB-16GGJX3,192.168.163.40,192.31377148628235,20
20,0.013983604552822165,0.0513391982880421,0.990625,1716920917,,False,21,4b9e0720,2024-05-28_20-28-37,8.68099594116211,200.99476742744446,10795,VRMWB-16GGJX3,192.168.163.40,200.99476742744446,21
21,0.007257548784607171,0.029489216592628507,0.99375,1716920926,,False,22,4b9e0720,2024-05-28_20-28-46,8.830964803695679,209.82573223114014,10795,VRMWB-16GGJX3,192.168.163.40,209.82573223114014,22
22,0.004211357832069934,0.027018817089265214,0.9921875,1716920934,,False,23,4b9e0720,2024-05-28_20-28-54,8.376388311386108,218.20212054252625,10795,VRMWB-16GGJX3,192.168.163.40,218.20212054252625,23
23,0.003550768993725931,0.02845377321355045,0.9921875,1716920942,,False,24,4b9e0720,2024-05-28_20-29-02,8.28984260559082,226.49196314811707,10795,VRMWB-16GGJX3,192.168.163.40,226.49196314811707,24
24,0.003040930239000806,0.030978505517123268,0.990625,1716920951,,False,25,4b9e0720,2024-05-28_20-29-11,8.386420011520386,234.87838315963745,10795,VRMWB-16GGJX3,192.168.163.40,234.87838315963745,25
25,0.0026250137648556704,0.026284335571108385,0.9953125,1716920959,,False,26,4b9e0720,2024-05-28_20-29-19,7.915475368499756,242.7938585281372,10795,VRMWB-16GGJX3,192.168.163.40,242.7938585281372,26
26,0.011618007079376207,0.04640960997203365,0.9890625,1716920966,,False,27,4b9e0720,2024-05-28_20-29-26,6.860326051712036,249.65418457984924,10795,VRMWB-16GGJX3,192.168.163.40,249.65418457984924,27
27,0.0033591262777738365,0.033918201242340726,0.990625,1716920973,,False,28,4b9e0720,2024-05-28_20-29-33,7.069681882858276,256.7238664627075,10795,VRMWB-16GGJX3,192.168.163.40,256.7238664627075,28
28,0.001914939138877355,0.03467711233533919,0.990625,1716920979,,False,29,4b9e0720,2024-05-28_20-29-39,6.644651889801025,263.36851835250854,10795,VRMWB-16GGJX3,192.168.163.40,263.36851835250854,29
29,0.0016932440964781024,0.024117244698572904,0.9921875,1716920986,,False,30,4b9e0720,2024-05-28_20-29-46,6.711466312408447,270.079984664917,10795,VRMWB-16GGJX3,192.168.163.40,270.079984664917,30
30,0.0015832341447139136,0.03883171127235983,0.9921875,1716920993,,False,31,4b9e0720,2024-05-28_20-29-53,6.677678108215332,276.7576627731323,10795,VRMWB-16GGJX3,192.168.163.40,276.7576627731323,31
31,0.0012535463916540238,0.03866685213870369,0.9921875,1716921000,,False,32,4b9e0720,2024-05-28_20-30-00,6.807539224624634,283.56520199775696,10795,VRMWB-16GGJX3,192.168.163.40,283.56520199775696,32
32,0.001186767848852424,0.042684509861283006,0.990625,1716921006,,False,33,4b9e0720,2024-05-28_20-30-06,6.868275165557861,290.4334771633148,10795,VRMWB-16GGJX3,192.168.163.40,290.4334771633148,33
33,0.0011000669939316993,0.025114637007936834,0.9921875,1716921013,,False,34,4b9e0720,2024-05-28_20-30-13,6.2516069412231445,296.68508410453796,10795,VRMWB-16GGJX3,192.168.163.40,296.68508410453796,34
34,0.000984910639135144,0.02957586235133931,0.99375,1716921021,,False,35,4b9e0720,2024-05-28_20-30-21,8.01974081993103,304.704824924469,10795,VRMWB-16GGJX3,192.168.163.40,304.704824924469,35
35,0.000957593270778702,0.035196804915904066,0.990625,1716921027,,False,36,4b9e0720,2024-05-28_20-30-27,6.669149875640869,311.37397480010986,10795,VRMWB-16GGJX3,192.168.163.40,311.37397480010986,36
36,0.0008684575434107287,0.030615201604086907,0.9921875,1716921034,,False,37,4b9e0720,2024-05-28_20-30-34,6.3605217933654785,317.73449659347534,10795,VRMWB-16GGJX3,192.168.163.40,317.73449659347534,37
37,0.0008193303142490303,0.038971725464216435,0.990625,1716921041,,False,38,4b9e0720,2024-05-28_20-30-41,6.831519365310669,324.566015958786,10795,VRMWB-16GGJX3,192.168.163.40,324.566015958786,38
38,0.0007711133713414318,0.041836238984251393,0.990625,1716921048,,False,39,4b9e0720,2024-05-28_20-30-48,7.689975261688232,332.25599122047424,10795,VRMWB-16GGJX3,192.168.163.40,332.25599122047424,39
