iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.5330538367047724,2.226378047466278,0.209375,1716920116,,False,1,9d48917b,2024-05-28_20-15-16,12.592658758163452,12.592658758163452,5007,VRMWB-16GGJX3,192.168.163.40,12.592658758163452,1
1,2.019434836175707,1.7221229553222657,0.346875,1716920135,,False,2,9d48917b,2024-05-28_20-15-35,18.08136510848999,30.674023866653442,5007,VRMWB-16GGJX3,192.168.163.40,30.674023866653442,2
2,1.5733021365271673,1.2974132180213929,0.509375,1716920155,,False,3,9d48917b,2024-05-28_20-15-55,20.24101495742798,50.91503882408142,5007,VRMWB-16GGJX3,192.168.163.40,50.91503882408142,3
