iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.5855145130628423,2.300037610530853,0.175,1716920348,,False,1,025af581,2024-05-28_20-19-08,23.867513179779053,23.867513179779053,7988,VRMWB-16GGJX3,192.168.163.40,23.867513179779053,1
1,1.9392408809544128,1.6296445727348328,0.3875,1716920365,,False,2,025af581,2024-05-28_20-19-25,17.109166622161865,40.97667980194092,7988,VRMWB-16GGJX3,192.168.163.40,40.97667980194092,2
2,1.408327862068459,1.1637032330036163,0.5359375,1716920385,,False,3,025af581,2024-05-28_20-19-45,19.59299874305725,60.56967854499817,7988,VRMWB-16GGJX3,192.168.163.40,60.56967854499817,3
3,0.9629456283133707,0.8897391647100449,0.6828125,1716920413,,False,4,025af581,2024-05-28_20-20-13,22.0481173992157,82.61779594421387,7988,VRMWB-16GGJX3,192.168.163.40,82.61779594421387,4
4,0.6144034266471863,0.4867586150765419,0.865625,1716920434,,False,5,025af581,2024-05-28_20-20-34,21.190093755722046,103.80788969993591,7988,VRMWB-16GGJX3,192.168.163.40,103.80788969993591,5
