iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.543338413591738,2.2343566536903383,0.19375,1716920369,,False,1,4731e866,2024-05-28_20-19-29,18.262049436569214,18.262049436569214,8296,VRMWB-16GGJX3,192.168.163.40,18.262049436569214,1
1,2.0853717592027454,1.87691188454628,0.31875,1716920380,,False,2,4731e866,2024-05-28_20-19-40,10.671445846557617,28.93349528312683,8296,VRMWB-16GGJX3,192.168.163.40,28.93349528312683,2
2,1.5592468329417852,1.2869646370410919,0.484375,1716920402,,False,3,4731e866,2024-05-28_20-20-02,11.94574499130249,40.87924027442932,8296,VRMWB-16GGJX3,192.168.163.40,40.87924027442932,3
3,1.0786907768543856,1.000664022564888,0.6328125,1716920415,,False,4,4731e866,2024-05-28_20-20-15,12.305304765701294,53.184545040130615,8296,VRMWB-16GGJX3,192.168.163.40,53.184545040130615,4
4,0.8086199145994069,0.6858642488718033,0.7328125,1716920429,,False,5,4731e866,2024-05-28_20-20-29,14.185595512390137,67.37014055252075,8296,VRMWB-16GGJX3,192.168.163.40,67.37014055252075,5
