iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.6624668468663724,2.2320728659629823,0.2265625,1716920266,,False,1,fbeebb5e,2024-05-28_20-17-46,19.596516609191895,19.596516609191895,6985,VRMWB-16GGJX3,192.168.163.40,19.596516609191895,1
1,2.1773794094721475,1.9912611365318298,0.275,1716920276,,False,2,fbeebb5e,2024-05-28_20-17-56,9.638916730880737,29.235433340072632,6985,VRMWB-16GGJX3,192.168.163.40,29.235433340072632,2
2,1.8298442039960696,1.6253304660320282,0.434375,1716920286,,False,3,fbeebb5e,2024-05-28_20-18-06,10.497468709945679,39.73290205001831,6985,VRMWB-16GGJX3,192.168.163.40,39.73290205001831,3
3,1.3612372360111755,1.1564419746398926,0.6078125,1716920298,,False,4,fbeebb5e,2024-05-28_20-18-18,11.78982424736023,51.52272629737854,6985,VRMWB-16GGJX3,192.168.163.40,51.52272629737854,4
4,1.0046655822683264,0.8851292163133622,0.66875,1716920308,,False,5,fbeebb5e,2024-05-28_20-18-28,10.150296926498413,61.67302322387695,6985,VRMWB-16GGJX3,192.168.163.40,61.67302322387695,5
